ts,device_id,topic,m_key,m_value
"""2025-10-14T11:09:37.000Z""",cnc,cnc/lathe/programpercent,lathe,0
"""2025-10-14T11:09:39.000Z""",cnc,cnc/lathe/programpercent,lathe,2
"""2025-10-14T11:09:41.000Z""",cnc,cnc/lathe/programpercent,lathe,5
"""2025-10-14T11:09:43.000Z""",cnc,cnc/lathe/programpercent,lathe,7
"""2025-10-14T11:09:45.000Z""",cnc,cnc/lathe/programpercent,lathe,10
"""2025-10-14T11:09:47.000Z""",cnc,cnc/lathe/programpercent,lathe,13
"""2025-10-14T11:09:49.000Z""",cnc,cnc/lathe/programpercent,lathe,16
"""2025-10-14T11:09:51.000Z""",cnc,cnc/lathe/programpercent,lathe,19
"""2025-10-14T11:09:53.000Z""",cnc,cnc/lathe/programpercent,lathe,22
"""2025-10-14T11:09:56.000Z""",cnc,cnc/lathe/programpercent,lathe,25
"""2025-10-14T11:09:58.000Z""",cnc,cnc/lathe/programpercent,lathe,28
"""2025-10-14T11:10:00.000Z""",cnc,cnc/lathe/programpercent,lathe,31
"""2025-10-14T11:10:02.000Z""",cnc,cnc/lathe/programpercent,lathe,33
"""2025-10-14T11:10:04.000Z""",cnc,cnc/lathe/programpercent,lathe,36
"""2025-10-14T11:10:06.000Z""",cnc,cnc/lathe/programpercent,lathe,38
"""2025-10-14T11:10:08.000Z""",cnc,cnc/lathe/programpercent,lathe,40
"""2025-10-14T11:10:10.000Z""",cnc,cnc/lathe/programpercent,lathe,42
"""2025-10-14T11:10:12.000Z""",cnc,cnc/lathe/programpercent,lathe,44
"""2025-10-14T11:10:14.000Z""",cnc,cnc/lathe/programpercent,lathe,47
"""2025-10-14T11:10:16.000Z""",cnc,cnc/lathe/programpercent,lathe,49
"""2025-10-14T11:10:18.000Z""",cnc,cnc/lathe/programpercent,lathe,51
"""2025-10-14T11:10:20.000Z""",cnc,cnc/lathe/programpercent,lathe,53
"""2025-10-14T11:10:22.000Z""",cnc,cnc/lathe/programpercent,lathe,56
"""2025-10-14T11:10:24.000Z""",cnc,cnc/lathe/programpercent,lathe,58
"""2025-10-14T11:10:26.000Z""",cnc,cnc/lathe/programpercent,lathe,61
"""2025-10-14T11:10:28.000Z""",cnc,cnc/lathe/programpercent,lathe,63
"""2025-10-14T11:10:30.000Z""",cnc,cnc/lathe/programpercent,lathe,65
"""2025-10-14T11:10:32.000Z""",cnc,cnc/lathe/programpercent,lathe,67
"""2025-10-14T11:10:34.000Z""",cnc,cnc/lathe/programpercent,lathe,69
"""2025-10-14T11:10:36.000Z""",cnc,cnc/lathe/programpercent,lathe,72
"""2025-10-14T11:10:38.000Z""",cnc,cnc/lathe/programpercent,lathe,75
"""2025-10-14T11:10:40.000Z""",cnc,cnc/lathe/programpercent,lathe,77
"""2025-10-14T11:10:42.000Z""",cnc,cnc/lathe/programpercent,lathe,79
"""2025-10-14T11:10:44.000Z""",cnc,cnc/lathe/programpercent,lathe,82
"""2025-10-14T11:10:46.000Z""",cnc,cnc/lathe/programpercent,lathe,85
"""2025-10-14T11:10:48.000Z""",cnc,cnc/lathe/programpercent,lathe,87
"""2025-10-14T11:10:50.000Z""",cnc,cnc/lathe/programpercent,lathe,89
"""2025-10-14T11:10:52.000Z""",cnc,cnc/lathe/programpercent,lathe,91
"""2025-10-14T11:10:54.000Z""",cnc,cnc/lathe/programpercent,lathe,94
"""2025-10-14T11:10:56.000Z""",cnc,cnc/lathe/programpercent,lathe,96
"""2025-10-14T11:10:58.000Z""",cnc,cnc/lathe/programpercent,lathe,98
"""2025-10-14T11:11:00.000Z""",cnc,cnc/lathe/programpercent,lathe,0
"""2025-10-14T11:11:02.000Z""",cnc,cnc/lathe/programpercent,lathe,2
"""2025-10-14T11:11:04.000Z""",cnc,cnc/lathe/programpercent,lathe,4
"""2025-10-14T11:11:06.000Z""",cnc,cnc/lathe/programpercent,lathe,7
"""2025-10-14T11:11:08.000Z""",cnc,cnc/lathe/programpercent,lathe,10
"""2025-10-14T11:11:10.000Z""",cnc,cnc/lathe/programpercent,lathe,13
"""2025-10-14T11:11:12.000Z""",cnc,cnc/lathe/programpercent,lathe,16
"""2025-10-14T11:11:14.000Z""",cnc,cnc/lathe/programpercent,lathe,18
"""2025-10-14T11:11:16.000Z""",cnc,cnc/lathe/programpercent,lathe,21
"""2025-10-14T11:11:18.000Z""",cnc,cnc/lathe/programpercent,lathe,23
"""2025-10-14T11:11:20.000Z""",cnc,cnc/lathe/programpercent,lathe,25
"""2025-10-14T11:11:22.000Z""",cnc,cnc/lathe/programpercent,lathe,28
"""2025-10-14T11:11:24.000Z""",cnc,cnc/lathe/programpercent,lathe,30
"""2025-10-14T11:11:26.000Z""",cnc,cnc/lathe/programpercent,lathe,32
"""2025-10-14T11:11:28.000Z""",cnc,cnc/lathe/programpercent,lathe,35
"""2025-10-14T11:11:30.000Z""",cnc,cnc/lathe/programpercent,lathe,37
"""2025-10-14T11:11:32.000Z""",cnc,cnc/lathe/programpercent,lathe,39
"""2025-10-14T11:11:34.000Z""",cnc,cnc/lathe/programpercent,lathe,42
"""2025-10-14T11:11:36.000Z""",cnc,cnc/lathe/programpercent,lathe,44
"""2025-10-14T11:11:38.000Z""",cnc,cnc/lathe/programpercent,lathe,47
"""2025-10-14T11:11:40.000Z""",cnc,cnc/lathe/programpercent,lathe,49
"""2025-10-14T11:11:42.000Z""",cnc,cnc/lathe/programpercent,lathe,52
"""2025-10-14T11:11:44.000Z""",cnc,cnc/lathe/programpercent,lathe,55
"""2025-10-14T11:11:46.000Z""",cnc,cnc/lathe/programpercent,lathe,58
"""2025-10-14T11:11:48.000Z""",cnc,cnc/lathe/programpercent,lathe,60
